output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
150.5,15.7603231455088,80.8990878694218,80.8990878694218,0.144518265672551,80.6158320687036,81.18234367014,Constrained GP mean
151,15.8126830230686,80.1659038319645,80.1659038319645,0.14481687976527,79.8820627476245,80.4497449163044,Constrained GP mean
151.5,15.8650429006285,79.4335645070944,79.4335645070944,0.144742238404603,79.1498697198214,79.7172592943674,Constrained GP mean
151.939546599496,15.9110721128914,78.7904335909546,78.7904335909546,0.144663260516738,78.5068936003418,79.0739735815674,Constrained GP mean
152,15.9174027781883,78.7020268927967,78.7020268927967,0.14468937255566,78.4184357225876,78.9856180630058,Constrained GP mean
152.5,15.9697626557481,77.9712476439719,77.9712476439719,0.145132515705515,77.686787913189,78.2557073747547,Constrained GP mean
153,16.0221225333079,77.2411825052787,77.2411825052787,0.145308281556228,76.9563782734285,77.5259867371289,Constrained GP mean
153.5,16.0744824108678,76.5117870654435,76.5117870654435,0.144933988005181,76.2277164489533,76.7958576819336,Constrained GP mean
153.853904282116,16.1115431806268,75.995895260388,75.995895260388,0.144663261120287,75.7123552685922,76.2794352521838,Constrained GP mean
154,16.1268422884276,75.7830168997527,75.7830168997527,0.144649619445458,75.4995036456395,76.0665301538658,Constrained GP mean
154.5,16.1792021659874,75.0548269891369,75.0548269891369,0.144813430277226,74.7709926657935,75.3386613124803,Constrained GP mean
155,16.2315620435473,74.3271712515856,74.3271712515856,0.144728803255326,74.0435027972052,74.610839705966,Constrained GP mean
155.5,16.2839219211071,73.6000035158509,73.6000035158509,0.144381755923914,73.31701527424,73.8829917574617,Constrained GP mean
155.667506297229,16.3014631395339,73.3564942542436,73.3564942542436,0.144336116644512,73.0735954656203,73.6393930428668,Constrained GP mean
156,16.3362817986669,72.8732774949264,72.8732774949264,0.144487111659126,72.5900827560746,73.1564722337783,Constrained GP mean
156.5,16.3886416762268,72.1469457137788,72.1469457137788,0.144805015424543,71.8631278835467,72.430763544011,Constrained GP mean
157,16.4410015537866,71.4209599064136,71.4209599064136,0.144758838685184,71.1372325825907,71.7046872302366,Constrained GP mean
157.481108312343,16.4913830984412,70.7226859206101,70.7226859206101,0.144663260919104,70.4391459292087,71.0062259120116,Constrained GP mean
157.5,16.4933614313464,70.6952718133607,70.6952718133607,0.144670088918754,70.4117184390799,70.9788251876415,Constrained GP mean
158,16.5457213089062,69.9698326919476,69.9698326919476,0.145095219030668,69.6854460626475,70.2542193212477,Constrained GP mean
