output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
68.25,7.14712328691678,27,27,0,27,27,Manufacturer peak plateau
68.5,7.17330322569669,27,27,0,27,27,Manufacturer peak plateau
68.7,7.19424717672063,27,27,0,27,27,Manufacturer peak plateau
68.75,7.19948316447661,27,27,0,27,27,Manufacturer peak plateau
69,7.22566310325652,27,27,0,27,27,Manufacturer peak plateau
69.25,7.25184304203644,27,27,0,27,27,Manufacturer peak plateau
69.3,7.25707902979242,27,27,0,27,27,Manufacturer peak plateau
69.5,7.27802298081635,27,27,0,27,27,Manufacturer peak plateau
69.75,7.30420291959627,27,27,0,27,27,Manufacturer peak plateau
69.925,7.32252887674221,27,27,0,27,27,Manufacturer peak plateau
70,7.33038285837618,27,27,0,27,27,Manufacturer peak plateau
70.25,7.3565627971561,27,27,0,27,27,Manufacturer peak plateau
70.5,7.38274273593601,27,27,0,27,27,Manufacturer peak plateau
70.525,7.38536072981401,27,27,0,27,27,Manufacturer peak plateau
70.75,7.40892267471593,26.7941080256033,26.7941080256033,0.0391799205406774,26.7173153813436,26.870900669863,Constrained GP mean
71,7.43510261349584,26.5630412267693,26.5630412267693,0.0390046953491857,26.4865920238849,26.6394904296537,Constrained GP mean
71.125,7.4481925828858,26.4464306874054,26.4464306874054,0.0387847676129784,26.370412542884,26.5224488319269,Constrained GP mean
71.25,7.46128255227576,26.3292137581543,26.3292137581543,0.0391032898804903,26.2525713099885,26.40585620632,Constrained GP mean
71.5,7.48746249105567,26.0934718760297,26.0934718760297,0.0393707268649238,26.0163052513744,26.1706385006849,Constrained GP mean
71.75,7.51364242983559,25.8568866666751,25.8568866666751,0.0384215433659949,25.7815804416777,25.9321928916724,Constrained GP mean
72,7.5398223686155,25.6203732003819,25.6203732003819,0.0389623781397828,25.5440069392279,25.6967394615359,Constrained GP mean
72.25,7.56600230739542,25.3841838235579,25.3841838235579,0.0385370034552109,25.3086512967856,25.4597163503301,Constrained GP mean
72.35,7.57647428290738,25.2898182362719,25.2898182362719,0.0383762412590609,25.2146008034041,25.3650356691396,Constrained GP mean
72.5,7.59218224617533,25.1483992934918,25.1483992934918,0.0388518820195119,25.0722496047335,25.22454898225,Constrained GP mean
72.75,7.61836218495525,24.9130115673024,24.9130115673024,0.0391295377090561,24.8363176733926,24.9897054612121,Constrained GP mean
72.975,7.64192412985717,24.7014387919093,24.7014387919093,0.0383760613829956,24.6262217115986,24.7766558722199,Constrained GP mean
73,7.64454212373516,24.6779442607488,24.6779442607488,0.0383795131986681,24.6027204148794,24.7531681066182,Constrained GP mean
73.25,7.67072206251508,24.4431306028607,24.4431306028607,0.0389852280348865,24.3667195559123,24.5195416498091,Constrained GP mean
73.5,7.69690200129499,24.2085375506775,24.2085375506775,0.038466298321252,24.1331436059678,24.2839314953871,Constrained GP mean
73.575,7.70475598292897,24.1381986471007,24.1381986471007,0.0383757370253838,24.062982202531,24.2134150916705,Constrained GP mean
73.75,7.72308194007491,23.9741393522772,23.9741393522772,0.0389539581553362,23.8977895942927,24.0504891102616,Constrained GP mean
74,7.74926187885482,23.7399210229002,23.7399210229002,0.0390480271228206,23.6633868897395,23.8164551560609,Constrained GP mean
74.2,7.77020582987875,23.5526700630942,23.5526700630942,0.0383757355811813,23.4774536213551,23.6278865048333,Constrained GP mean
74.25,7.77544181763474,23.5058739330519,23.5058739330519,0.0384116171614047,23.4305871634155,23.5811607026882,Constrained GP mean
74.5,7.80162175641465,23.271989095775,23.271989095775,0.0389947851782203,23.1955593168257,23.3484188747244,Constrained GP mean
74.75,7.82780169519457,23.0382565259255,23.0382565259255,0.0384116160219204,22.9629697585226,23.1135432933285,Constrained GP mean
74.8,7.83303768295055,22.9915273942743,22.9915273942743,0.0383757342265934,22.9163109551902,23.0667438333584,Constrained GP mean
75,7.85398163397448,22.804665959549,22.804665959549,0.0390480252529342,22.7281318300533,22.8812000890448,Constrained GP mean
75.25,7.8801615727544,22.5712059959915,22.5712059959915,0.038953957253522,22.4948562397746,22.6475557522084,Constrained GP mean
75.425,7.89848752990034,22.4078553556601,22.4078553556601,0.0383757341673441,22.3326389166921,22.4830717946281,Constrained GP mean
75.5,7.90634151153431,22.3378647299227,22.3378647299227,0.0384662908482897,22.26247079986,22.4132586599853,Constrained GP mean
75.75,7.93252145031423,22.1046301004962,22.1046301004962,0.0389851594381905,22.0282191879973,22.181041012995,Constrained GP mean
76,7.95870138909414,21.8714897782366,21.8714897782366,0.0383792228029567,21.7962665015428,21.9467130549304,Constrained GP mean
76.025,7.96131938297213,21.8481804575101,21.8481804575101,0.0383757341666034,21.7729640185436,21.9233968964766,Constrained GP mean
76.25,7.98488132787406,21.6384313806564,21.6384313806564,0.0391288059816358,21.5617389209324,21.7151238403804,Constrained GP mean
76.5,8.01106126665397,21.4054423357244,21.4054423357244,0.0388510638184151,21.3292942506403,21.4815904208085,Constrained GP mean
76.65,8.02676922992192,21.2656769437787,21.2656769437787,0.0383757339970022,21.1904605051446,21.3408933824128,Constrained GP mean
76.75,8.03724120543389,21.1725100095891,21.1725100095891,0.038536571335461,21.0969783297716,21.2480416894066,Constrained GP mean
77,8.0634211442138,20.9396216084429,20.9396216084429,0.03895676721479,20.8632663447019,21.0159768721839,Constrained GP mean
77.25,8.08960108299372,20.7067641273267,20.7067641273267,0.0383757332060236,20.6315476902428,20.7819805644105,Constrained GP mean
77.5,8.11578102177363,20.4739244762807,20.4739244762807,0.0391926510323808,20.3971068802573,20.5507420723042,Constrained GP mean
77.75,8.14196096055355,20.241089260083,20.241089260083,0.0387445435231417,20.1651499547776,20.3170285653883,Constrained GP mean
77.875,8.1550509299435,20.1246691063783,20.1246691063783,0.0383757240719966,20.0494526871972,20.1998855255594,Constrained GP mean
78,8.16814089933346,20.0082450011213,20.0082450011213,0.0386159211236848,19.9325577957189,20.0839322065237,Constrained GP mean
78.25,8.19432083811338,19.7753779841043,19.7753779841043,0.0389108554546628,19.6991127074132,19.8516432607955,Constrained GP mean
78.475,8.2178827830153,19.5657666780474,19.5657666780474,0.0383752688683811,19.4905511510654,19.6409822050294,Constrained GP mean
78.5,8.22050077689329,19.5424742551312,19.5424742551312,0.038404923343898,19.4672006053772,19.6177479048853,Constrained GP mean
78.75,8.24668071567321,19.3095197318957,19.3095197318957,0.0392363070224704,19.2326165701316,19.3864228936597,Constrained GP mean
