output_speed_rpm,output_speed_rad_s,peak_envelope_nm,gp_mean_unconstrained_nm,gp_std_nm,gp_lower95_nm,gp_upper95_nm,point_source
105,10.9955742875643,113.143388484948,113.143388484948,0.170309434744683,112.809581992848,113.477194977047,GP fitted to digitized manufacturer curve
105.5,11.0479341651241,112.788383915389,112.788383915389,0.609837804755332,111.593101818069,113.98366601271,GP fitted to digitized manufacturer curve
106,11.1002940426839,112.432858798577,112.432858798577,1.07031236088251,110.335046571248,114.530671025907,GP fitted to digitized manufacturer curve
106.5,11.1526539202438,112.076865385959,112.076865385959,1.41737644515546,109.298807553454,114.854923218464,GP fitted to digitized manufacturer curve
107,11.2050137978036,111.720372432261,111.720372432261,1.63201476476113,108.521623493329,114.919121371193,GP fitted to digitized manufacturer curve
107.5,11.2573736753634,111.3632657769,111.3632657769,1.70525686244714,108.020962326503,114.705569227296,GP fitted to digitized manufacturer curve
108,11.3097335529233,111.005348699341,111.005348699341,1.63431699244436,107.80208739415,114.208610004532,GP fitted to digitized manufacturer curve
108.5,11.3620934304831,110.646342049611,110.646342049611,1.42205405951001,107.859116092971,113.43356800625,GP fitted to digitized manufacturer curve
109,11.4144533080429,110.285884154664,110.285884154664,1.07750080015716,108.173982586356,112.397785722972,GP fitted to digitized manufacturer curve
109.5,11.4668131856027,109.923530500902,109.923530500902,0.619572902823218,108.709167611368,111.137893390435,GP fitted to digitized manufacturer curve
110,11.5191730631626,109.558753192615,109.558753192615,0.171987118062238,109.221658441213,109.895847944017,GP fitted to digitized manufacturer curve
110.023,11.5215816175303,109.541905417484,109.541905417484,0.169670505638912,109.209351226432,109.874459608537,GP fitted to digitized manufacturer curve
110.5,11.5715329407224,109.191191459776,109.191191459776,0.571103649670083,108.071828306423,110.310554613129,GP fitted to digitized manufacturer curve
111,11.6238928182822,108.82155427215,108.82155427215,1.03152714915574,106.799761059805,110.843347484495,GP fitted to digitized manufacturer curve
111.5,11.6762526958421,108.450799877453,108.450799877453,1.37758590698213,105.750731499768,111.150868255138,GP fitted to digitized manufacturer curve
112,11.7286125734019,108.079808044114,108.079808044114,1.58917484169233,104.965025354397,111.194590733831,GP fitted to digitized manufacturer curve
112.5,11.7809724509617,107.709383136057,107.709383136057,1.65712528534024,104.46141757679,110.957348695324,GP fitted to digitized manufacturer curve
113,11.8333323285216,107.340257009689,107.340257009689,1.57871163110262,104.245982212728,110.434531806651,GP fitted to digitized manufacturer curve
113.5,11.8856922060814,106.973091711324,106.973091711324,1.35707818409165,104.313218470505,109.632964952144,GP fitted to digitized manufacturer curve
114,11.9380520836412,106.608481981075,106.608481981075,1.00192012604141,104.644718534034,108.572245428117,GP fitted to digitized manufacturer curve
114.5,11.990411961201,106.246957568822,106.246957568822,0.534793891892698,105.198761540712,107.295153596932,GP fitted to digitized manufacturer curve
114.941,12.0365933732088,105.931027437634,105.931027437634,0.169670547815546,105.598473163915,106.263581711352,GP fitted to digitized manufacturer curve
115,12.0427718387609,105.88898522956,105.88898522956,0.184230150163511,105.52789413524,106.250076323881,GP fitted to digitized manufacturer curve
115.5,12.0951317163207,105.534854045225,105.534854045225,0.655711944107127,104.249658634775,106.820049455675,GP fitted to digitized manufacturer curve
116,12.1474915938805,105.184464396158,105.184464396158,1.10681040339391,103.015116005506,107.35381278681,GP fitted to digitized manufacturer curve
116.5,12.1998514714404,104.837600011711,104.837600011711,1.44261518635303,102.010074246459,107.665125776963,GP fitted to digitized manufacturer curve
117,12.2522113490002,104.493985636471,104.493985636471,1.64528644494539,101.269224204378,107.718747068564,GP fitted to digitized manufacturer curve
117.5,12.30457122656,104.153286926587,104.153286926587,1.70625153804551,100.809033912018,107.497539941156,GP fitted to digitized manufacturer curve
118,12.3569311041199,103.815110178259,103.815110178259,1.62301268075015,100.634005323989,106.996215032529,GP fitted to digitized manufacturer curve
118.5,12.4092909816797,103.479001888261,103.479001888261,1.3987012105042,100.737547515673,106.220456260849,GP fitted to digitized manufacturer curve
119,12.4616508592395,103.144448146045,103.144448146045,1.04270527483661,101.100745807366,105.188150484725,GP fitted to digitized manufacturer curve
119.5,12.5140107367993,102.810873856601,102.810873856601,0.575162388815742,101.683555574522,103.93819213868,GP fitted to digitized manufacturer curve
119.977,12.5639620599914,102.492972730542,102.492972730542,0.169671501733948,102.160416587143,102.82552887394,GP fitted to digitized manufacturer curve
120,12.5663706143592,102.477641801032,102.477641801032,0.172002136695481,102.140517613109,102.814765988956,GP fitted to digitized manufacturer curve
120.5,12.618730491919,102.144146970064,102.144146970064,0.621888731394297,100.925245056531,103.363048883597,GP fitted to digitized manufacturer curve
121,12.6710903694788,101.810052840811,101.810052840811,1.08103275040913,99.6912286500096,103.928877031613,GP fitted to digitized manufacturer curve
121.5,12.7234502470387,101.475030756409,101.475030756409,1.42601489089024,98.6800415702639,104.270019942554,GP fitted to digitized manufacturer curve
